batch_size,best_iou,experiment,final_memory_mb,initial_memory_mb,memory_usage_mb,peak_memory_mb,pruning_enabled,status,target_sparsity,training_time_seconds
8,0.9715661704037111,bs8_pruneTrue_sp0.125,714.32373046875,0.0,714.32373046875,11392.1416015625,True,completed,0.125,5544.861851453781
8,0.9712750273416147,bs8_pruneTrue_sp0.25,720.0947265625,714.32373046875,5.77099609375,11395.10888671875,True,completed,0.25,7135.014159440994
8,0.9669248264234959,bs8_pruneTrue_sp0.375,716.669921875,720.0947265625,-3.4248046875,11395.10888671875,True,completed,0.375,7067.3358607292175
8,0.971037617995961,bs8_pruneTrue_sp0.5,715.65380859375,716.669921875,-1.01611328125,11395.10888671875,True,completed,0.5,4658.970356225967
8,0.9720073415823091,bs8_pruneTrue_sp0.625,716.61474609375,715.65380859375,0.9609375,11395.10888671875,True,completed,0.625,3876.975781440735
8,0.9727885177569997,bs8_pruneTrue_sp0.75,717.0478515625,716.61474609375,0.43310546875,11395.10888671875,True,completed,0.75,3888.2575805187225
8,0.9705842876700831,bs8_pruneTrue_sp0.875,717.0478515625,717.0478515625,0.0,11395.10888671875,True,completed,0.875,3895.7499730587006
8,0.9707239676209202,bs8_pruneFalse_sp0,717.0478515625,717.0478515625,0.0,11395.10888671875,False,completed,0.0,3901.065728187561
12,0.9699833819096881,bs12_pruneTrue_sp0.125,714.78515625,717.0478515625,-2.2626953125,16812.1748046875,True,completed,0.125,3859.9962198734283
12,0.9706038351611637,bs12_pruneTrue_sp0.25,715.08642578125,714.78515625,0.30126953125,16815.025390625,True,completed,0.25,3873.479476928711
12,0.9701421905653334,bs12_pruneTrue_sp0.375,712.21044921875,715.08642578125,-2.8759765625,16815.025390625,True,completed,0.375,3891.940376996994
12,0.9725962762048005,bs12_pruneTrue_sp0.5,713.271484375,712.21044921875,1.06103515625,16815.025390625,True,completed,0.5,3861.4438664913177
12,0.9718894309926388,bs12_pruneTrue_sp0.625,712.80078125,713.271484375,-0.470703125,16815.025390625,True,completed,0.625,3874.6153779029846
12,0.972629628005164,bs12_pruneTrue_sp0.75,715.32275390625,712.80078125,2.52197265625,16815.025390625,True,completed,0.75,3879.595536708832
12,0.9733541910850536,bs12_pruneTrue_sp0.875,715.3154296875,715.32275390625,-0.00732421875,17491.46484375,True,completed,0.875,4089.1103961467743
12,0.9722748248853799,bs12_pruneFalse_sp0,711.69970703125,715.3154296875,-3.61572265625,17491.46484375,False,completed,0.0,6106.48473739624
